Thepa	Ambtr	Aquco	Mimgu	Medtr	Nelnu	Soltu	Solly	Vitvi	Theca	Frave	Carpa	Arath	Glyma	Poptr
1	1	1	1	1	1	0	1	1	1	1	0	1	1	1
1	1	1	2	2	2	2	2	1	1	1	1	1	2	2
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	3	2	1	1	1	1	1	1	2	3	2
1	1	2	2	1	1	0	1	1	1	1	1	1	4	2
1	1	1	1	0	2	1	1	1	1	0	1	1	2	1
1	1	2	1	0	1	2	1	1	1	1	1	1	1	2
2	1	1	2	3	1	3	2	5	3	3	1	2	3	4
1	1	5	1	2	1	2	2	0	1	1	1	1	5	2
1	1	1	1	0	1	0	0	0	1	2	1	1	2	1
3	1	1	2	2	2	0	2	1	1	1	1	1	4	2
6	2	3	2	1	4	3	3	0	2	2	1	3	9	4
2	1	2	1	3	2	0	2	1	1	1	2	1	5	3
1	1	1	2	0	1	2	2	1	1	1	1	1	3	4
2	1	1	2	2	1	1	1	1	1	1	1	1	2	2
1	1	2	2	2	1	1	2	2	2	1	2	1	2	1
1	1	1	1	1	1	2	1	1	1	2	1	1	2	4
3	1	1	1	1	2	3	1	2	1	1	1	3	7	3
0	1	1	0	0	0	1	1	0	1	0	0	0	3	1
1	2	1	1	1	1	3	2	1	1	0	1	1	3	1
0	1	1	1	1	0	1	1	1	1	1	1	1	1	1
1	1	1	1	0	1	1	1	1	1	1	1	1	2	2
3	1	2	3	0	3	0	2	3	4	2	1	0	0	5
1	1	2	1	2	1	2	1	1	1	1	1	1	4	1
1	1	1	1	0	1	1	1	1	1	1	1	1	3	2
1	1	2	1	0	2	3	3	1	1	1	1	1	2	3
1	1	1	2	1	1	1	1	0	1	1	1	1	2	2
1	2	2	2	2	0	1	2	2	1	1	1	1	3	1
1	1	1	1	1	2	1	1	1	1	1	1	1	1	2
2	1	1	1	0	2	3	2	2	1	2	1	2	2	2
2	1	4	0	0	1	3	2	2	3	2	1	1	4	3
2	2	0	3	1	2	1	1	2	2	1	2	1	5	1
